simulation_id,winner_name,total_steps,final_civs,winner_resources,winner_tech,winner_weapon_investment,winner_search_investment,winner_camo_investment,winner_survival_drive,winner_known_civs,total_interactions,total_attacks,total_cooperations,avg_resource_pressure,max_resource_pressure
75,Xylos,337,1,3111.1284576959033,60152.68043849502,1686.6123257535453,636.2426974633858,8.206919379208193,0.7,2,0,0,0,0.0030275031226280127,0.060099183643790785
76,Proxima B,298,1,451.58708684735063,6935.257607815486,466.9517639594167,1232.827678096792,6.38040492966922,0.7,1,0,0,0,0.001650978864601274,0.010724151941740895
77,Gliese 667,271,1,313.38166108935036,4169.767038397901,197.58515930112108,951.2869760328181,12.640570316519982,0.7,1,0,0,0,0.0011729022843588231,0.008
78,Xylos,192,1,255.92223602795733,3020.4462733430414,183.65826494938213,768.992428571686,4.15202010099619,0.7,3,0,0,0,0.0009682512708722955,0.008
79,Xylos,351,1,220.86874031056826,2480.7489674697713,267.4123791549832,691.5440008226409,24.619470730002753,0.7,2,0,0,0,0.00805853225425385,0.04851265960587094
80,Epsilon Eridani,273,1,492.3360339323768,9751.64403898686,369.47659523075833,1378.4093987081083,18.943630263787487,0.7,0,0,0,0,0.002271258213824982,0.01967502062672332
81,Kepler-442,284,1,153.14971574447048,986.9178530440568,136.4743438756833,524.9512391574292,4.953119852952787,0.7,2,0,0,0,0.00215536255859845,0.02226369795825898
82,,233,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0016219952442500763,0.014666661959767006
83,Alpha Centauri,238,1,290.4483101515418,3710.870686132352,171.94892152952264,723.5031609467114,24.736885764313765,0.7,2,0,0,0,0.0019915102120407367,0.015383874512979656
84,Epsilon Eridani,306,1,609.6560148946978,10098.2168580429,563.4789897551768,1378.4681491006163,10.974141867967287,0.7,2,0,0,0,0.0030837203148320284,0.020927238160387725
85,Barnard's Star,237,1,87.59989753744972,1660.7309909175733,59.80721290997604,458.15247607294975,16.00168309045418,0.7,0,0,0,0,0.001666857474308693,0.009661749166760535
86,Sol,224,1,125.97501283343746,529.9717093059938,64.38612274295835,398.9737766783063,10.582742961315487,0.7,1,0,0,0,0.0058779663872386145,0.054397791004138746
87,Gliese 667,212,1,1456.176120686619,35612.005860789955,471.8436118292988,1866.5133510831517,4.019889348123789,0.7,1,0,0,0,0.003910455358535437,0.03997031312461683
88,Tau Ceti,259,1,610.1064954521319,10107.230973997157,630.7800416626209,1549.556447282901,2.528868898160361,0.7,3,0,0,0,0.002028151874088363,0.011265455686840873
